fecha,departamento,enCurso,cantCasosNuevosCALC,cantCasosNuevosAPP,cantFallecidos,acumFallecidos,cantRecuperados,acumRecuperados,acumcasos
2020-04-29,Artigas(UY-AR),0,0,0,0,0,0,0,0
2020-04-29,Canelones(UY-CA),17,0,0,0,2,0,66,85
2020-04-29,Cerro Largo(UY-CL),0,0,0,0,0,0,0,0
2020-04-29,Colonia(UY-CO),2,0,0,0,0,0,6,8
2020-04-29,Durazno(UY-DU),0,0,0,0,0,1,1,1
2020-04-29,Flores(UY-FS),0,0,0,0,0,0,1,1
2020-04-29,Florida(UY-FD),0,0,0,0,0,0,0,0
2020-04-29,Lavalleja(UY-LA),0,0,0,0,0,0,4,4
2020-04-29,Maldonado(UY-MA),8,1,1,0,3,1,14,25
2020-04-29,Montevideo(UY-MO),167,4,4,0,10,16,298,475
2020-04-29,Paysandú(UY-PA),0,0,0,0,0,0,1,1
2020-04-29,Río Negro(UY-RN),1,0,0,0,0,0,8,9
2020-04-29,Rivera(UY-RV),0,0,0,0,0,0,1,1
2020-04-29,Rocha(UY-RO),0,0,0,0,0,0,1,1
2020-04-29,Salto(UY-SA),2,0,0,0,0,0,10,12
2020-04-29,San José(UY-SJ),2,0,0,0,0,0,1,3
2020-04-29,Soriano(UY-SO),0,0,0,0,0,0,1,1
2020-04-29,Tacuarembó(UY-TA),0,0,0,0,0,0,0,0
2020-04-29,Treinta y Tres(UY-TT),4,0,0,0,0,0,0,4
2020-04-30,Artigas(UY-AR),0,0,0,0,0,0,0,0
2020-04-30,Canelones(UY-CA),14,0,0,0,2,3,69,85
2020-04-30,Cerro Largo(UY-CL),0,0,0,0,0,0,0,0
2020-04-30,Colonia(UY-CO),2,0,0,0,0,0,6,8
2020-04-30,Durazno(UY-DU),0,0,0,0,0,0,1,1
2020-04-30,Flores(UY-FS),0,0,0,0,0,0,1,1
2020-04-30,Florida(UY-FD),0,0,0,0,0,0,0,0
2020-04-30,Lavalleja(UY-LA),0,0,0,0,0,0,4,4
2020-04-30,Maldonado(UY-MA),7,0,0,1,4,0,14,25
2020-04-30,Montevideo(UY-MO),177,13,13,1,11,2,300,488
2020-04-30,Paysandú(UY-PA),0,0,0,0,0,0,1,1
2020-04-30,Río Negro(UY-RN),1,0,0,0,0,0,8,9
2020-04-30,Rivera(UY-RV),0,0,0,0,0,0,1,1
2020-04-30,Rocha(UY-RO),0,0,0,0,0,0,1,1
2020-04-30,Salto(UY-SA),2,0,0,0,0,0,10,12
2020-04-30,San José(UY-SJ),2,0,0,0,0,0,1,3
2020-04-30,Soriano(UY-SO),0,0,0,0,0,0,1,1
2020-04-30,Tacuarembó(UY-TA),0,0,0,0,0,0,0,0
2020-04-30,Treinta y Tres(UY-TT),4,0,0,0,0,0,0,4
2020-05-01,Artigas(UY-AR),0,0,0,0,0,0,0,0
2020-05-01,Canelones(UY-CA),13,2,2,0,2,3,72,87
2020-05-01,Cerro Largo(UY-CL),0,0,0,0,0,0,0,0
2020-05-01,Colonia(UY-CO),2,0,0,0,0,0,6,8
2020-05-01,Durazno(UY-DU),0,0,0,0,0,0,1,1
2020-05-01,Flores(UY-FS),0,0,0,0,0,0,1,1
2020-05-01,Florida(UY-FD),0,0,0,0,0,0,0,0
2020-05-01,Lavalleja(UY-LA),0,0,0,0,0,0,4,4
2020-05-01,Maldonado(UY-MA),7,0,0,0,4,0,14,25
2020-05-01,Montevideo(UY-MO),167,3,3,0,11,13,313,491
2020-05-01,Paysandú(UY-PA),0,0,0,0,0,0,1,1
2020-05-01,Río Negro(UY-RN),1,0,0,0,0,0,8,9
2020-05-01,Rivera(UY-RV),0,0,0,0,0,0,1,1
2020-05-01,Rocha(UY-RO),0,0,0,0,0,0,1,1
2020-05-01,Salto(UY-SA),0,0,0,0,0,2,12,12
2020-05-01,San José(UY-SJ),2,0,0,0,0,0,1,3
2020-05-01,Soriano(UY-SO),0,0,0,0,0,0,1,1
2020-05-01,Tacuarembó(UY-TA),0,0,0,0,0,0,0,0
2020-05-01,Treinta y Tres(UY-TT),4,0,0,0,0,0,0,4
2020-05-02,Artigas(UY-AR),0,0,0,0,0,0,0,0
2020-05-02,Canelones(UY-CA),15,2,2,0,2,0,72,89
2020-05-02,Cerro Largo(UY-CL),0,0,0,0,0,0,0,0
2020-05-02,Colonia(UY-CO),2,0,0,0,0,0,6,8
2020-05-02,Durazno(UY-DU),0,0,0,0,0,0,1,1
2020-05-02,Flores(UY-FS),0,0,0,0,0,0,1,1
2020-05-02,Florida(UY-FD),0,0,0,0,0,0,0,0
2020-05-02,Lavalleja(UY-LA),0,0,0,0,0,0,4,4
2020-05-02,Maldonado(UY-MA),7,0,0,0,4,0,14,25
2020-05-02,Montevideo(UY-MO),164,2,2,0,11,5,318,493
2020-05-02,Paysandú(UY-PA),0,0,0,0,0,0,1,1
2020-05-02,Río Negro(UY-RN),1,0,0,0,0,0,8,9
2020-05-02,Rivera(UY-RV),0,0,0,0,0,0,1,1
2020-05-02,Rocha(UY-RO),0,0,0,0,0,0,1,1
2020-05-02,Salto(UY-SA),0,0,0,0,0,0,12,12
2020-05-02,San José(UY-SJ),2,0,0,0,0,0,1,3
2020-05-02,Soriano(UY-SO),0,0,0,0,0,0,1,1
2020-05-02,Tacuarembó(UY-TA),0,0,0,0,0,0,0,0
2020-05-02,Treinta y Tres(UY-TT),4,0,0,0,0,0,0,4
2020-05-03,Artigas(UY-AR),0,0,0,0,0,0,0,0
2020-05-03,Canelones(UY-CA),15,0,0,0,2,0,72,89
2020-05-03,Cerro Largo(UY-CL),0,0,0,0,0,0,0,0
2020-05-03,Colonia(UY-CO),2,0,0,0,0,0,6,8
2020-05-03,Durazno(UY-DU),0,0,0,0,0,0,1,1
2020-05-03,Flores(UY-FS),0,0,0,0,0,0,1,1
2020-05-03,Florida(UY-FD),0,0,0,0,0,0,0,0
2020-05-03,Lavalleja(UY-LA),0,0,0,0,0,0,4,4
2020-05-03,Maldonado(UY-MA),7,0,0,0,4,0,14,25
2020-05-03,Montevideo(UY-MO),165,2,2,0,11,1,319,495
2020-05-03,Paysandú(UY-PA),0,0,0,0,0,0,1,1
2020-05-03,Río Negro(UY-RN),1,0,0,0,0,0,8,9
2020-05-03,Rivera(UY-RV),0,0,0,0,0,0,1,1
2020-05-03,Rocha(UY-RO),0,0,0,0,0,0,1,1
2020-05-03,Salto(UY-SA),0,0,0,0,0,0,12,12
2020-05-03,San José(UY-SJ),1,0,0,0,0,1,2,3
2020-05-03,Soriano(UY-SO),0,0,0,0,0,0,1,1
2020-05-03,Tacuarembó(UY-TA),0,0,0,0,0,0,0,0
2020-05-03,Treinta y Tres(UY-TT),5,1,1,0,0,0,0,5
2020-05-04,Artigas(UY-AR),0,0,0,0,0,0,0,0
2020-05-04,Canelones(UY-CA),17,2,2,0,2,0,72,91
2020-05-04,Cerro Largo(UY-CL),0,0,0,0,0,0,0,0
2020-05-04,Colonia(UY-CO),2,0,0,0,0,0,6,8
2020-05-04,Durazno(UY-DU),0,0,0,0,0,0,1,1
2020-05-04,Flores(UY-FS),0,0,0,0,0,0,1,1
2020-05-04,Florida(UY-FD),0,0,0,0,0,0,0,0
2020-05-04,Lavalleja(UY-LA),0,0,0,0,0,0,4,4
2020-05-04,Maldonado(UY-MA),7,0,0,0,4,0,14,25
2020-05-04,Montevideo(UY-MO),160,-1,-1,0,11,4,323,494
2020-05-04,Paysandú(UY-PA),0,0,0,0,0,0,1,1
2020-05-04,Río Negro(UY-RN),1,0,0,0,0,0,8,9
2020-05-04,Rivera(UY-RV),0,0,0,0,0,0,1,1
2020-05-04,Rocha(UY-RO),0,0,0,0,0,0,1,1
2020-05-04,Salto(UY-SA),0,0,0,0,0,0,12,12
2020-05-04,San José(UY-SJ),1,0,0,0,0,0,2,3
2020-05-04,Soriano(UY-SO),0,0,0,0,0,0,1,1
2020-05-04,Tacuarembó(UY-TA),0,0,0,0,0,0,0,0
2020-05-04,Treinta y Tres(UY-TT),5,0,0,0,0,0,0,5
2020-05-05,Artigas(UY-AR),0,0,0,0,0,0,0,0
2020-05-05,Canelones(UY-CA),18,3,3,0,2,2,74,94
2020-05-05,Cerro Largo(UY-CL),0,0,0,0,0,0,0,0
2020-05-05,Colonia(UY-CO),3,1,1,0,0,0,6,9
2020-05-05,Durazno(UY-DU),0,0,0,0,0,0,1,1
2020-05-05,Flores(UY-FS),0,0,0,0,0,0,1,1
2020-05-05,Florida(UY-FD),0,0,0,0,0,0,0,0
2020-05-05,Lavalleja(UY-LA),0,0,0,0,0,0,4,4
2020-05-05,Maldonado(UY-MA),8,1,1,0,4,0,14,26
